Time,Quadrant Number,Ball Colour,Type
0.0,4,orange,Entry
0.03327777777777778,4,orange,Exit
0.03327777777777778,3,orange,Entry
0.06655555555555556,3,orange,Exit
0.06655555555555556,4,orange,Entry
0.09983333333333334,4,orange,Exit
0.09983333333333334,2,orange,Entry
0.1996666666666667,2,white,Exit
0.1996666666666667,4,white,Entry
0.5658333333333334,4,orange,Exit
0.5658333333333334,2,orange,Entry
0.5991111111111111,2,white,Exit
0.5991111111111111,4,white,Entry
0.8653333333333334,4,orange,Exit
0.8653333333333334,3,orange,Entry
0.8986111111111111,3,orange,Exit
0.8986111111111111,4,orange,Entry
0.9985222222222223,4,orange,Exit
0.9985222222222223,2,orange,Entry
1.1316777777777778,2,white,Exit
1.1316777777777778,4,white,Entry
1.2647444444444444,4,orange,Exit
1.2647444444444444,2,orange,Entry
1.3979666666666668,2,white,Exit
1.3979666666666668,4,white,Entry
1.4978222222222224,4,orange,Exit
1.4978222222222224,2,orange,Entry
1.531111111111111,2,orange,Exit
1.531111111111111,3,orange,Entry
1.6309777777777779,3,white,Exit
1.6309777777777779,4,white,Entry
1.7308444444444446,4,orange,Exit
1.7308444444444446,3,orange,Entry
1.7641333333333333,3,white,Exit
1.7641333333333333,4,white,Entry
1.864,4,orange,Exit
1.864,2,orange,Entry
1.9307555555555556,2,white,Exit
1.9307555555555556,4,white,Entry
1.9971,4,yellow,Exit
1.9971,2,yellow,Entry
2.130255555555556,2,yellow,Exit
2.130255555555556,4,yellow,Entry
29.95648888888889,4,orange,Exit
29.95648888888889,2,orange,Entry
30.25608888888889,2,orange,Exit
30.25608888888889,4,orange,Entry
30.62217777777778,4,orange,Exit
30.62217777777778,2,orange,Entry
30.72201111111111,2,white,Exit
30.72201111111111,4,white,Entry
30.955066666666667,4,orange,Exit
30.955066666666667,3,orange,Entry
31.021600000000003,3,orange,Exit
31.021600000000003,4,orange,Entry
31.05486666666667,4,orange,Exit
31.05486666666667,3,orange,Entry
31.088133333333335,3,orange,Exit
31.088133333333335,2,orange,Entry
31.1214,2,orange,Exit
31.1214,4,orange,Entry
31.720555555555556,4,orange,Exit
31.720555555555556,2,orange,Entry
31.753822222222222,2,white,Exit
31.753822222222222,4,white,Entry
31.95357777777778,4,orange,Exit
31.95357777777778,3,orange,Entry
31.986811111111113,3,yellow,Exit
31.986811111111113,4,yellow,Entry
32.21987777777778,4,orange,Exit
32.21987777777778,2,orange,Entry
32.25307777777778,2,orange,Exit
32.25307777777778,4,orange,Entry
32.45288888888889,4,orange,Exit
32.45288888888889,2,orange,Entry
32.486155555555555,2,orange,Exit
32.486155555555555,4,orange,Entry
32.78562222222222,4,orange,Exit
32.78562222222222,2,orange,Entry
32.85228888888889,2,orange,Exit
32.85228888888889,4,orange,Entry
32.885577777777776,4,orange,Exit
32.885577777777776,2,orange,Entry
33.251755555555555,2,orange,Exit
33.251755555555555,4,orange,Entry
34.050533333333334,4,orange,Exit
34.050533333333334,2,orange,Entry
34.31675555555556,2,orange,Exit
34.31675555555556,4,orange,Entry
34.350033333333336,4,orange,Exit
34.350033333333336,2,orange,Entry
34.38331111111111,2,orange,Exit
34.38331111111111,4,orange,Entry
34.4167,4,orange,Exit
34.4167,2,orange,Entry
34.44997777777778,2,orange,Exit
34.44997777777778,4,orange,Entry
34.58308888888889,4,orange,Exit
34.58308888888889,2,orange,Entry
34.64964444444445,2,orange,Exit
34.64964444444445,4,orange,Entry
34.78275555555556,4,orange,Exit
34.78275555555556,2,orange,Entry
34.84931111111111,2,orange,Exit
34.84931111111111,4,orange,Entry
34.94925555555556,4,orange,Exit
34.94925555555556,2,orange,Entry
35.28214444444445,2,orange,Exit
35.28214444444445,3,orange,Entry
35.4153,3,orange,Exit
35.4153,2,orange,Entry
35.515166666666666,2,orange,Exit
35.515166666666666,4,orange,Entry
35.74818888888889,4,orange,Exit
35.74818888888889,2,orange,Entry
35.78147777777778,2,orange,Exit
35.78147777777778,4,orange,Entry
35.81476666666667,4,orange,Exit
35.81476666666667,2,orange,Entry
43.93626666666667,2,orange,Exit
43.93626666666667,4,orange,Entry
45.300844444444444,4,orange,Exit
45.300844444444444,2,orange,Entry
45.33411111111111,2,orange,Exit
45.33411111111111,4,orange,Entry
45.40078888888889,4,orange,Exit
45.40078888888889,2,orange,Entry
45.46732222222222,2,orange,Exit
45.46732222222222,4,orange,Entry
46.16637777777778,4,orange,Exit
46.16637777777778,2,orange,Entry
46.49926666666667,2,orange,Exit
46.49926666666667,4,orange,Entry
46.53255555555556,4,orange,Exit
46.53255555555556,2,orange,Entry
46.665711111111115,2,orange,Exit
46.665711111111115,3,orange,Entry
46.699000000000005,3,orange,Exit
46.699000000000005,2,orange,Entry
46.798766666666666,2,orange,Exit
46.798766666666666,3,orange,Entry
46.93196666666667,3,white,Exit
46.93196666666667,4,white,Entry
47.09824444444445,4,orange,Exit
47.09824444444445,2,orange,Entry
47.13163333333333,2,white,Exit
47.13163333333333,4,white,Entry
47.43123333333334,4,orange,Exit
47.43123333333334,2,orange,Entry
47.46452222222222,2,orange,Exit
47.46452222222222,4,orange,Entry
47.531099999999995,4,orange,Exit
47.531099999999995,2,orange,Entry
47.630966666666666,2,orange,Exit
47.630966666666666,4,orange,Entry
47.664255555555556,4,orange,Exit
47.664255555555556,2,orange,Entry
47.697544444444446,2,orange,Exit
47.697544444444446,4,orange,Entry
47.73083333333334,4,orange,Exit
47.73083333333334,2,orange,Entry
47.79741111111111,2,orange,Exit
47.79741111111111,4,orange,Entry
47.8307,4,orange,Exit
47.8307,2,orange,Entry
47.86398888888889,2,white,Exit
47.86398888888889,4,white,Entry
47.89727777777778,4,orange,Exit
47.89727777777778,2,orange,Entry
47.93056666666667,2,white,Exit
47.93056666666667,4,white,Entry
48.03033333333334,4,orange,Exit
48.03033333333334,2,orange,Entry
48.063722222222225,2,white,Exit
48.063722222222225,4,white,Entry
48.19677777777778,4,orange,Exit
48.19677777777778,2,orange,Entry
48.29667777777778,2,orange,Exit
48.29667777777778,4,orange,Entry
48.662755555555556,4,yellow,Exit
48.662755555555556,2,yellow,Entry
48.829233333333335,2,yellow,Exit
48.829233333333335,4,yellow,Entry
66.76995555555555,4,yellow,Exit
66.76995555555555,2,yellow,Entry
66.86982222222223,2,orange,Exit
66.86982222222223,3,orange,Entry
66.90311111111112,3,orange,Exit
66.90311111111112,2,orange,Entry
66.9364,2,orange,Exit
66.9364,4,orange,Entry
67.56878888888889,4,orange,Exit
67.56878888888889,2,orange,Entry
67.6353888888889,2,orange,Exit
67.6353888888889,4,orange,Entry
68.06807777777779,4,orange,Exit
68.06807777777779,3,orange,Entry
68.10128888888889,3,orange,Exit
68.10128888888889,2,orange,Entry
68.23444444444445,2,white,Exit
68.23444444444445,4,white,Entry
68.26781111111111,4,orange,Exit
68.26781111111111,2,orange,Entry
68.36761111111113,2,white,Exit
68.36761111111113,4,white,Entry
68.80026666666667,4,orange,Exit
68.80026666666667,3,orange,Entry
68.90018888888889,3,orange,Exit
68.90018888888889,4,orange,Entry
69.0333,4,orange,Exit
69.0333,2,orange,Entry
69.06655555555555,2,white,Exit
69.06655555555555,4,white,Entry
69.29954444444445,4,orange,Exit
69.29954444444445,2,orange,Entry
69.33296666666666,2,orange,Exit
69.33296666666666,4,orange,Entry
69.3993888888889,4,yellow,Exit
69.3993888888889,2,yellow,Entry
73.7265888888889,2,white,Exit
73.7265888888889,4,white,Entry
73.79316666666668,4,orange,Exit
73.79316666666668,2,orange,Entry
84.34445555555556,2,white,Exit
84.34445555555556,4,white,Entry
84.64415555555556,4,orange,Exit
84.64415555555556,2,orange,Entry
84.71073333333334,2,orange,Exit
84.71073333333334,4,orange,Entry
84.8438888888889,4,orange,Exit
84.8438888888889,2,orange,Entry
85.2433,2,white,Exit
85.2433,4,white,Entry
85.2766,4,orange,Exit
85.2766,2,orange,Entry
85.3099,2,white,Exit
85.3099,4,white,Entry
85.47626666666667,4,orange,Exit
85.47626666666667,2,orange,Entry
85.54283333333333,2,white,Exit
85.54283333333333,4,white,Entry
85.57603333333334,4,orange,Exit
85.57603333333334,2,orange,Entry
85.64278888888889,2,white,Exit
85.64278888888889,4,white,Entry
85.67597777777779,4,orange,Exit
85.67597777777779,2,orange,Entry
85.70916666666668,2,orange,Exit
85.70916666666668,4,orange,Entry
85.74255555555557,4,orange,Exit
85.74255555555557,2,orange,Entry
85.94222222222223,2,orange,Exit
85.94222222222223,4,orange,Entry
86.17516666666667,4,orange,Exit
86.17516666666667,2,orange,Entry
86.34163333333333,2,orange,Exit
86.34163333333333,4,orange,Entry
86.57466666666667,4,orange,Exit
86.57466666666667,2,orange,Entry
86.64123333333333,2,orange,Exit
86.64123333333333,4,orange,Entry
86.67443333333334,4,orange,Exit
86.67443333333334,2,orange,Entry
86.70781111111111,2,orange,Exit
86.70781111111111,4,orange,Entry
87.00731111111112,4,orange,Exit
87.00731111111112,2,orange,Entry
87.10714444444444,2,orange,Exit
87.10714444444444,4,orange,Entry
87.14042222222223,4,orange,Exit
87.14042222222223,2,orange,Entry
87.34023333333333,2,orange,Exit
87.34023333333333,4,orange,Entry
87.53996666666667,4,orange,Exit
87.53996666666667,2,orange,Entry
87.67312222222223,2,white,Exit
87.67312222222223,4,white,Entry
87.70641111111111,4,orange,Exit
87.70641111111111,2,orange,Entry
87.7397,2,white,Exit
87.7397,4,white,Entry
88.0393,4,orange,Exit
88.0393,2,orange,Entry
88.10626666666666,2,orange,Exit
88.10626666666666,4,orange,Entry
88.17235555555555,4,orange,Exit
88.17235555555555,2,orange,Entry
88.3388,2,white,Exit
88.3388,4,white,Entry
88.87142222222222,4,orange,Exit
88.87142222222222,2,orange,Entry
89.07115555555556,2,white,Exit
89.07115555555556,4,white,Entry
89.13763333333334,4,orange,Exit
89.13763333333334,2,orange,Entry
89.30406666666667,2,white,Exit
89.30406666666667,4,white,Entry
89.47051111111112,4,orange,Exit
89.47051111111112,2,orange,Entry
91.16801111111111,2,orange,Exit
91.16801111111111,4,orange,Entry
91.2345888888889,4,orange,Exit
91.2345888888889,2,orange,Entry
91.30116666666667,2,white,Exit
91.30116666666667,4,white,Entry
91.33445555555556,4,orange,Exit
91.33445555555556,2,orange,Entry
91.40103333333333,2,orange,Exit
91.40103333333333,4,orange,Entry
91.60076666666667,4,orange,Exit
91.60076666666667,2,orange,Entry
91.73392222222223,2,white,Exit
91.73392222222223,4,white,Entry
91.83378888888889,4,orange,Exit
91.83378888888889,2,orange,Entry
91.90036666666667,2,white,Exit
91.90036666666667,4,white,Entry
91.93365555555557,4,orange,Exit
91.93365555555557,2,orange,Entry
91.96694444444445,2,white,Exit
91.96694444444445,4,white,Entry
92.00013333333334,4,orange,Exit
92.00013333333334,2,orange,Entry
92.03332222222222,2,white,Exit
92.03332222222222,4,white,Entry
